"couponid","title","type","couponcode","user_id","is_couponcode_required","startdate","enddate","amounttype","amount","body","status","created_at","updated_at"
"153","REFUND","1","JAG551","412","1","2020-07-19","2020-12-31","f","6","Green Plain Banana	1	0.99
Brownberry/Arnold/Oroweat Whole Grains Sandwich Rolls 100% Whole Wheat   8 CT	1	5.19","1","2020-07-21 17:04:46","2020-07-21 17:04:46"
"154","REFUND","1","SUKRUTHA552","325","1","2020-07-19","2020-12-31","f","9","Swad Green Cardamom 	1	4.39
Swad Jumbo Peanuts Packet	1	4.39","1","2020-07-21 17:05:57","2020-07-21 17:05:57"
"155","REFUND","1","SHIVANI567","187","1","2020-07-20","2020-12-31","f","2","Shan Chicken 65 Masala	1	2.19","0","2020-07-21 17:08:31","2020-07-27 13:08:58"
"156","REFUND","1","NIKITA569","177","1","2020-07-20","2020-12-31","f","2","Shan Chicken 65 Masala	1	2.19","1","2020-07-21 17:10:26","2020-07-21 17:10:26"
"157","REFUND","1","NAVNEETH577","424","1","2020-07-20","2020-12-31","f","1","Lays Lays Indian Magic Masala	1	1.49","1","2020-07-21 17:10:41","2020-07-21 17:10:41"
"158","REFUND","1","NIDHI578","425","1","2020-07-20","2020-12-31","f","9","Swad Roasted Upma Sooji	2	4.39	8.78","1","2020-07-21 17:10:56","2020-07-21 17:10:56"
"159","REFUND","1","Komal548","411","1","2020-06-18","2020-12-31","f","7","MDH Amchur Powder	1	2.19
Carolina Basmati Rice	1	4.89","1","2020-07-21 17:13:10","2020-07-21 17:13:10"
"160","REFUND","1","TEJAS585","353","1","2020-07-21","2020-12-31","f","3","Seedless European Cucumbers	2	2.98","1","2020-07-22 16:49:59","2020-07-22 16:49:59"
"161","REFUND","1","SUNIL587","352","1","2020-07-21","2020-12-31","f","2","Organic Bunch Spinach","1","2020-07-22 16:51:32","2020-07-22 16:51:32"
"162","REFUND","1","DIVYA589","427","1","2020-07-22","2020-12-31","f","3","MTR Kadhi Pakora","1","2020-07-23 12:54:13","2020-07-23 12:54:13"
"163","Refund","1","PRAJAKTA417","140","1","2020-07-22","2020-12-23","f","5",NULL,"0","2020-07-23 14:28:53","2020-07-25 19:24:00"
"164","test","1","TEST12345","0","1","2020-07-28","2020-08-16","f","1.12",NULL,"1","2020-07-28 01:48:14","2020-08-03 06:59:21"
"165","Helloween","1","Helloween","0","1","2020-10-07","2020-10-08","p","5",NULL,"1","2020-10-07 10:35:55","2020-10-07 10:35:55"
"166","Haloween","1","HALOWEEN","0","1","2020-10-29","2020-10-31","p","5",NULL,"1","2020-10-29 10:10:32","2020-10-29 10:11:32"
